idx,train_avg_reward,train_step_count_max,lr,eval_reward_mean,eval_reward_sum,eval_step_count_max
25,-0.03356097638607025,998,0.0002995376000599692,-3.719520236700191e-06,-0.0037158008199185133,998
26,-0.034385424107313156,998,0.00029949988920510446,-1.5060536497912835e-06,-0.0015045475447550416,998
27,-0.03332953155040741,998,0.0002994607028466888,-6.940831021040594e-09,-6.933890290383715e-06,998
28,-0.03354945033788681,998,0.00029942004137147586,-7.92203724842011e-09,-7.914115485618822e-06,998
29,-0.03459373116493225,998,0.0002993779051807778,-1.5172190614975989e-05,-0.015157018788158894,998
30,-0.03337916359305382,998,0.0002993342946904619,-2.3201284875540296e-06,-0.002317808335646987,998
31,-0.03379913046956062,998,0.0002992892103309462,-4.744843806747667e-07,-0.00047400989569723606,998
32,-0.034105293452739716,998,0.00029924265254719496,-2.626151399454102e-06,-0.0026235252153128386,998
33,-0.03440996631979942,998,0.00029919462179871475,-3.6667142921942286e-07,-0.0003663047682493925,998
34,-0.032922569662332535,998,0.0002991451185595498,-4.7699241889631594e-08,-4.765154153574258e-05,998
35,-0.03275535628199577,998,0.0002990941433182769,-1.2937812243762892e-05,-0.01292487420141697,998
36,-0.03127781301736832,998,0.0002990416965780012,-1.633657916499942e-06,-0.0016320243012160063,998
37,-0.03128259256482124,998,0.00029898777885635085,-3.870703039865475e-06,-0.003866832237690687,998
38,-0.03240916132926941,998,0.000298932390685472,-1.8319582295589498e-08,-1.8301263480680063e-05,998
39,-0.03129097819328308,998,0.00029887553261202354,-7.420485417242162e-06,-0.007413065060973167,998
40,-0.032814331352710724,998,0.00029881720519717164,-2.036025989582413e-06,-0.0020339898765087128,998
41,-0.03370803967118263,998,0.0002987574090165844,-5.192022399569396e-06,-0.005186830181628466,998
42,-0.032513879239559174,998,0.00029869614466042593,-7.162629572121659e-06,-0.007155466824769974,998
43,-0.0332459881901741,998,0.0002986334127333508,-5.019828222430078e-06,-0.0050148083828389645,998
44,-0.03138485923409462,998,0.00029856921385449763,-4.060020941665243e-08,-4.055960744153708e-05,998
45,-0.03106490895152092,998,0.0002985035486574836,-3.1904857228370886e-11,-3.187295405382429e-08,998
46,-0.031947650015354156,998,0.00029843641779039756,-2.8451856337596837e-07,-0.0002842340327333659,998
47,-0.034977905452251434,998,0.0002983678219157942,-4.090874199391692e-07,-0.00040867834468372166,998
48,-0.03383480757474899,998,0.0002982977617106871,-3.2591126455372432e-06,-0.0032558534294366837,998
49,-0.03037123568356037,998,0.00029822623786654207,-8.765445045355591e-07,-0.0008756679599173367,998
50,-0.03351157158613205,998,0.00029815325108927063,-4.793419634552265e-07,-0.0004788626392837614,998
51,-0.0317826084792614,998,0.00029807880209922283,-8.899962011810203e-08,-8.891062316251919e-05,998
52,-0.032375555485486984,998,0.00029800289163118014,-7.329596374283653e-10,-7.322266810660949e-07,998
53,-0.03218129277229309,998,0.0002979255204343483,-1.2129430793095253e-08,-1.2117301594116725e-05,998
54,-0.03239532560110092,998,0.00029784668927234964,-1.0679434581106761e-06,-0.001066875527612865,998
55,-0.03132333606481552,998,0.000297766398923216,-6.079694525595869e-09,-6.0736147133866325e-06,998
56,-0.03282777965068817,998,0.00029768465017938076,-1.0066959248433704e-06,-0.0010056892642751336,998
57,-0.03315325081348419,998,0.0002976014438476709,-3.039889406863949e-08,-3.036849375348538e-05,998
58,-0.031867191195487976,998,0.0002975167807492994,-9.366076625383357e-08,-9.356710506835952e-05,998
59,-0.031055424362421036,998,0.0002974306617198568,-2.7455500912765274e-06,-0.0027428045868873596,998
60,-0.03160326927900314,998,0.00029734308760930326,-2.5207951281913665e-08,-2.5182744138874114e-05,998
61,-0.032133713364601135,998,0.00029725405928195976,-3.357713467266876e-07,-0.0003354355867486447,998
62,-0.031002191826701164,998,0.0002971635776165,-5.642456244459026e-07,-0.0005636813584715128,998
63,-0.031697288155555725,998,0.00029707164350594156,-1.472884719078138e-06,-0.0014714117860421538,998
64,-0.03133163973689079,998,0.0002969782578576369,-1.3908922937844181e-06,-0.0013895013835281134,998
65,-0.029899219051003456,998,0.00029688342159326476,-6.624061938964587e-07,-0.0006617438048124313,998
66,-0.030823536217212677,998,0.0002967871356488207,-2.721283408391173e-06,-0.002718562027439475,998
67,-0.030702222138643265,998,0.00029668940097460816,-5.815099029859994e-06,-0.0058092838153243065,998
68,-0.03210063651204109,998,0.00029659021853522887,-6.91105969963246e-06,-0.006904148496687412,998
69,-0.031606823205947876,998,0.00029648958930957357,-7.215117420855677e-06,-0.007207902148365974,998
70,-0.03214774280786514,998,0.000296387514290812,-5.354425866244128e-06,-0.005349071230739355,998
71,-0.031978167593479156,998,0.0002962839944863834,-4.981641268386738e-06,-0.004976659547537565,998
72,-0.03090885654091835,998,0.00029617903091798647,-5.431278623291291e-06,-0.005425847135484219,998
73,-0.03081444837152958,998,0.0002960726246215692,-4.243334842612967e-06,-0.004239091649651527,998
74,-0.03174475580453873,998,0.00029596477664731884,-1.242498797182634e-06,-0.0012412562500685453,998
75,-0.032090410590171814,998,0.0002958554880596513,-1.435539047633938e-06,-0.001434103469364345,998
